,Unnamed: 0.1,Unnamed: 0,Document Title,Authors,Author Affiliations,Universities,Publication Year,DOI,Publisher,citation
354,354,354,Fair Outsourcing Paid in Fiat Money Using Blockchain,X. Xiao; Y. Zhang; X. Dong; L. Wang; Y. Xiang; X. Cao,China,"['Xidian University', 'Southeast University', 'Deakin University', 'Sun Yatsen University']",2022.0,10.1109/TSC.2022.3214615,IEEE,0.0
355,355,355,Fair Outsourcing Paid in Fiat Money Using Blockchain,X. Xiao; Y. Zhang; X. Dong; L. Wang; Y. Xiang; X. Cao,Australia,"['Xidian University', 'Southeast University', 'Deakin University', 'Sun Yatsen University']",2022.0,10.1109/TSC.2022.3214615,IEEE,0.0
356,356,356,NoSneaky: A Blockchain-Based Execution Integrity Protection Scheme in Industry 4.0,W. -Y. Chiu; W. Meng; C. Ge,China,"['Technical University of Denmark', 'Nanjing University of Aeronauticsand Astronautics']",2022.0,10.1109/TII.2022.3215606,IEEE,0.0
357,357,357,NoSneaky: A Blockchain-Based Execution Integrity Protection Scheme in Industry 4.0,W. -Y. Chiu; W. Meng; C. Ge,Denmark,"['Technical University of Denmark', 'Nanjing University of Aeronauticsand Astronautics']",2022.0,10.1109/TII.2022.3215606,IEEE,0.0
358,358,358,Blockchain-assisted Comprehensive Key Management in CP-ABE for Cloud-stored Data,S. Liu; J. Yu; L. Chen; B. Chai,China,"['Southeast University', 'Shandong University of Science and Technology']",2022.0,10.1109/TNSM.2022.3185237,IEEE,0.0
359,359,359,Blockchain-assisted Comprehensive Key Management in CP-ABE for Cloud-stored Data,S. Liu; J. Yu; L. Chen; B. Chai,PR,"['Southeast University', 'Shandong University of Science and Technology']",2022.0,10.1109/TNSM.2022.3185237,IEEE,0.0
360,360,360,Black Swan in Blockchain: Micro Analysis of Natural Forking,H. Shi; S. Wang; Q. Hu; X. Cheng,IN,"['Beijing Normal University', 'Indiana University  Purdue University Indianapolis', 'Shandong University SDU']",2022.0,10.1109/TDSC.2022.3219443,IEEE,0.0
361,361,361,Black Swan in Blockchain: Micro Analysis of Natural Forking,H. Shi; S. Wang; Q. Hu; X. Cheng,China,"['Beijing Normal University', 'Indiana University  Purdue University Indianapolis', 'Shandong University SDU']",2022.0,10.1109/TDSC.2022.3219443,IEEE,0.0
362,362,362,Black Swan in Blockchain: Micro Analysis of Natural Forking,H. Shi; S. Wang; Q. Hu; X. Cheng,USA,"['Beijing Normal University', 'Indiana University  Purdue University Indianapolis', 'Shandong University SDU']",2022.0,10.1109/TDSC.2022.3219443,IEEE,0.0
363,363,363,Blockchain-Based Multisignature Lock for UAC in Metaverse,K. Gai; S. Wang; H. Zhao; Y. She; Z. Zhang; L. Zhu,China,['Henan University'],2022.0,10.1109/TCSS.2022.3226717,IEEE,0.0
364,364,364,"ACA: Anonymous, Confidential and Auditable Transaction Systems for Blockchain",C. Lin; X. Huang; J. Ning; D. He,China,['University of Science and Technology'],2022.0,10.1109/TDSC.2022.3228236,IEEE,0.0
365,365,365,MLB-IoD: Multi Layered Blockchain Assisted 6 G Internet of Drones Ecosystem,G. Raja; S. Ganesh; S. Balaganesh; S. Balaganesh; B. R. Rajakumar; V. Ravichandran; M. Guizani,PA,"['Anna University', 'Carnegie Mellon University', 'Arizona State University']",2022.0,10.1109/TVT.2022.3213567,IEEE,0.0
